JSON: {"text": "“仅仅十二分钟，看懂的人却花了整整数十年！”", "url": "https://www.bilibili.com/video/BV1GW421d7Sj/"}
JSON: {"text": "所以生命啊，它苦涩如歌 | 魔法少女小圆", "url": "https://www.bilibili.com/video/BV1Fe4y1M7nr/"}
JSON: {"text": "【无职转生/MAD】“人是会改变的”", "url": "https://www.bilibili.com/video/BV1KV411M7Mp/"}
JSON: {"text": "警告⚠️别眨眼！感受来自咒术天花板的视觉盛宴！", "url": "https://www.bilibili.com/video/BV1D64y1E72L/"}
JSON: {"text": "【静止系MAD】从今往后无人再说芦毛跑不快！「小栗帽/赛马娘」", "url": "https://www.bilibili.com/video/BV16G4y1F7Dd/"}
JSON: {"text": "戰   回   術   咒", "url": "https://www.bilibili.com/video/BV1wB4y1w7Lm/"}
JSON: {"text": "当我拔剑的那一刻，全世界都将为之颤抖！！！", "url": "https://www.bilibili.com/video/BV1qt411n7xV/"}
JSON: {"text": "【虐心向/MAD】原来,你已经不在我身旁", "url": "https://www.bilibili.com/video/BV1Lx411v7X3/"}
JSON: {"text": "每天一遍、智商再见！！", "url": "https://www.bilibili.com/video/BV1W741177xS/"}
JSON: {"text": "Together / 从零开始的刀剑神域【Mad 大赛 2016】", "url": "https://www.bilibili.com/video/BV1Qs411C7Ee/"}
JSON: {"text": ""录音机能留下岁月吗"【轻音少女/2023风华回战/bilibili MAD创作大赛/ASMV】", "url": "https://www.bilibili.com/video/BV1Ku4y1V7qX/"}
JSON: {"text": "死亡传奇", "url": "https://www.bilibili.com/video/BV1CK2XYkEp2/"}
JSON: {"text": "奥特曼既是光也是人类——TAKE ME HIGHER原曲版", "url": "https://www.bilibili.com/video/BV1Sm411D74x/"}
JSON: {"text": "【EVA】感谢你曾来过我的世界:│▌ One Last Kiss", "url": "https://www.bilibili.com/video/BV1254y187SE/"}
JSON: {"text": "每天一遍、爱情再见！！", "url": "https://www.bilibili.com/video/BV1W7411G76W/"}
JSON: {"text": "十二首血洗B站的动漫神曲！唤醒你的中二灵魂！！！", "url": "https://www.bilibili.com/video/BV1fv411p79E/"}
JSON: {"text": "“当你身处迷茫困境中，就让这首《𝘿𝙖𝙮𝞘𝙞𝙜𝙝𝙩》来治愈你吧”", "url": "https://www.bilibili.com/video/BV1Xj411P7n1/"}
JSON: {"text": "“  爱    意  ”", "url": "https://www.bilibili.com/video/BV1Uu4m1c7Mz/"}
JSON: {"text": "【泛式/剧情MAD】祝你幸福，这一次我没有『说谎 』......  （mygo/祥子）", "url": "https://www.bilibili.com/video/BV1oG41127aM/"}
JSON: {"text": "这TM才叫拔刀！！！", "url": "https://www.bilibili.com/video/BV1mp4y1C7ZX/"}
JSON: {"text": "【电光机王/MAD】因为你说话时身体微微前倾，所以我选择比平时更近你一步", "url": "https://www.bilibili.com/video/BV1Hb4y1k7bE/"}
JSON: {"text": "【史诗向/震撼/MAD】圣杯神话—fate zero/stay night", "url": "https://www.bilibili.com/video/BV1Bx411P7AP/"}
JSON: {"text": "警告⚠️：别眨眼，前方爆燃！带你感受天花板级别的打戏盛宴！！", "url": "https://www.bilibili.com/video/BV1SP411A7QL/"}
JSON: {"text": "戴上耳机！用五十部动漫唱一首《起风了》，以爱之名你还愿意吗？", "url": "https://www.bilibili.com/video/BV1KV411Y7md/"}
JSON: {"text": "前方高能！让世界感受这场视觉盛宴吧！", "url": "https://www.bilibili.com/video/BV1x441187u5/"}
JSON: {"text": "【𝟒𝐊𝟔𝟎𝐅𝐏𝐒】全季燃剪！封神回！祓除四天灾！最强式神魔虚罗！领域展开！天崩地裂般的战斗！来感受涩谷篇极致的咒术盛宴！【咒术回战第二季】", "url": "https://www.bilibili.com/video/BV1wp4y1d7FR/"}
JSON: {"text": "“尽情高歌吧，在这场充斥虚假的圣杯战争之中！”", "url": "https://www.bilibili.com/video/BV1cX4y1e7ov/"}
JSON: {"text": "【Undertale/催泪】“我并不是什么好人…”", "url": "https://www.bilibili.com/video/BV14K4y1e7JH/"}
JSON: {"text": "「GIRLS BAND CRY」MAD-命に嫌われている。 (被生命所厌恶。)/GBC", "url": "https://www.bilibili.com/video/BV1Kf421z7wr/"}
JSON: {"text": "【催泪MAD】感谢你的陪伴,感谢你给予我一生的感动——致你一首优美的诗", "url": "https://www.bilibili.com/video/BV1Fx411T7cK/"}
JSON: {"text": "【排球少年/剧情MAD】日向翔阳：为来之不易而拼尽全力", "url": "https://www.bilibili.com/video/BV1Mj411Q7WX/"}
JSON: {"text": "弱者/The Weak", "url": "https://www.bilibili.com/video/BV1v7411W78x/"}
JSON: {"text": "一首《打上花火》竟治愈了无数破碎的心灵！", "url": "https://www.bilibili.com/video/BV1Nk4y1m7Tj/"}
JSON: {"text": "【MAD/AMV】永  不  过  时  的  艺  术  品", "url": "https://www.bilibili.com/video/BV12M4y137NK/"}
JSON: {"text": "MAD需要一些故事感！【", "url": "https://www.bilibili.com/video/BV1ys4y1s75c/"}
JSON: {"text": "这短短十分钟，是属于我们“二十一世纪”的时代！！！", "url": "https://www.bilibili.com/video/BV1Ke411p73V/"}
JSON: {"text": "【1200部动漫】这短短的五百九十四分钟究竟是B站多少人的青春？", "url": "https://www.bilibili.com/video/BV1RP411R72i/"}
JSON: {"text": "“你死后，时间开始流淌”【葬送的芙莉莲MAD/4K/60fps】", "url": "https://www.bilibili.com/video/BV1hjpteLEhQ/"}
JSON: {"text": "[MAD/二创理论课#1] - 剪辑思维", "url": "https://www.bilibili.com/video/BV1kT4y157H4/"}
JSON: {"text": "曾封禁全网的《Falling Again》如今致郁了多少人", "url": "https://www.bilibili.com/video/BV1Xa4y1h7LT/"}
JSON: {"text": "【𝟖𝐊/𝟏𝟐𝟎帧/边缘行者】收藏级画质𝑰 𝑹𝒆𝒂𝒍𝒍𝒚 𝑾𝒂𝒏𝒕 𝒕𝒐 𝑺𝒕𝒂𝒚 𝑨𝒕 𝒀𝒐𝒖𝒓", "url": "https://www.bilibili.com/video/BV1ZM411c79o/"}
JSON: {"text": "“我常常告诉自己，一个人走也没有关系”《我只能离开/mad》", "url": "https://www.bilibili.com/video/BV17M411D7qC/"}
JSON: {"text": "【无职转生/MAD】“人是会改变的”", "url": "https://www.bilibili.com/video/BV1KV411M7Mp/"}
JSON: {"text": "【静止画MAD】死滅回遊【咒术回战】", "url": "https://www.bilibili.com/video/BV1Bu411J731/"}
JSON: {"text": "【全程高燃】波罗斯：如果连我都退缩了，那我身后的宇宙由谁来守护！宇宙霸主挑战光头大魔王！", "url": "https://www.bilibili.com/video/BV1xC4y1t7ZK/"}
JSON: {"text": "【AMV-柯南】全员高燃混剪，你准备好了吗", "url": "https://www.bilibili.com/video/BV13Q4y1N734/"}
JSON: {"text": "【EVA】终结亦是起始:│▌ Beautiful World", "url": "https://www.bilibili.com/video/BV1D64y187w8/"}
JSON: {"text": "【静止系MAD】从今往后无人再说芦毛跑不快！「小栗帽/赛马娘」", "url": "https://www.bilibili.com/video/BV16G4y1F7Dd/"}
JSON: {"text": "当我拔剑的那一刻，全世界都将为之颤抖！！！", "url": "https://www.bilibili.com/video/BV1qt411n7xV/"}
JSON: {"text": "戰   回   術   咒", "url": "https://www.bilibili.com/video/BV1wB4y1w7Lm/"}
JSON: {"text": "【魔法少女小圆】在失去爱人的世界里，到底会开出什么颜色的花朵呢？-永远的迷宫物语-魔圆黑色篇", "url": "https://www.bilibili.com/video/BV1tA411Y746/"}
JSON: {"text": "【虐心向/MAD】原来,你已经不在我身旁", "url": "https://www.bilibili.com/video/BV1Lx411v7X3/"}
JSON: {"text": "【葬送的芙莉莲】卧槽！这打斗这画面感！！菲伦这猫步！！！", "url": "https://www.bilibili.com/video/BV1hC4y1J7cR/"}
JSON: {"text": "Together / 从零开始的刀剑神域【Mad 大赛 2016】", "url": "https://www.bilibili.com/video/BV1Qs411C7Ee/"}
JSON: {"text": "【致郁/MAD】别哭了，笑着吧", "url": "https://www.bilibili.com/video/BV1pE411D7Bp/"}
JSON: {"text": "MAD需要一些故事感！【", "url": "https://www.bilibili.com/video/BV1ys4y1s75c/"}
JSON: {"text": "戰   回   術   咒", "url": "https://www.bilibili.com/video/BV1wB4y1w7Lm/"}
JSON: {"text": "【泛式/剧情MAD】祝你幸福，这一次我没有『说谎 』......  （mygo/祥子）", "url": "https://www.bilibili.com/video/BV1oG41127aM/"}
JSON: {"text": "【MAD/AMV】永  不  过  时  的  艺  术  品", "url": "https://www.bilibili.com/video/BV12M4y137NK/"}
JSON: {"text": "「GIRLS BAND CRY」MAD-命に嫌われている。 (被生命所厌恶。)/GBC", "url": "https://www.bilibili.com/video/BV1Kf421z7wr/"}
JSON: {"text": "Together / 从零开始的刀剑神域【Mad 大赛 2016】", "url": "https://www.bilibili.com/video/BV1Qs411C7Ee/"}
JSON: {"text": "【电光机王/MAD】因为你说话时身体微微前倾，所以我选择比平时更近你一步", "url": "https://www.bilibili.com/video/BV1Hb4y1k7bE/"}
JSON: {"text": "【AMV-柯南】全员高燃混剪，你准备好了吗", "url": "https://www.bilibili.com/video/BV13Q4y1N734/"}
JSON: {"text": "【魔法少女小圆】在失去爱人的世界里，到底会开出什么颜色的花朵呢？-永远的迷宫物语-魔圆黑色篇", "url": "https://www.bilibili.com/video/BV1tA411Y746/"}
JSON: {"text": "【致郁/MAD】别哭了，笑着吧", "url": "https://www.bilibili.com/video/BV1pE411D7Bp/"}
JSON: {"text": "【崩坏3/MAD】恶魔之子", "url": "https://www.bilibili.com/video/BV1L3411A7TH/"}
JSON: {"text": "【魔圆】“魔女的舞步”", "url": "https://www.bilibili.com/video/BV1qx4y1j7B5/"}
JSON: {"text": "【处处吻】你的老婆可太撩了！世界都馋她一吻", "url": "https://www.bilibili.com/video/BV137411B7mQ/"}
JSON: {"text": "六年前B站全是这种视频！！!", "url": "https://www.bilibili.com/video/BV1aM4y1i74D/"}
JSON: {"text": "【静止画MAD】怪兽的花之歌【怪兽8号】", "url": "https://www.bilibili.com/video/BV1bK4y1L79e/"}
JSON: {"text": "【MAD/JOJO/全员向】☆★跨越百年的人类赞歌★☆", "url": "https://www.bilibili.com/video/BV1Sq4y1j7Ha/"}
JSON: {"text": "𝑫𝒊𝒆 𝑭𝒐𝒓 𝒀𝒐𝒖 为你而战｜⚠️战力天花板的觉醒时刻！", "url": "https://www.bilibili.com/video/BV1FX4y1x7aP/"}
JSON: {"text": "【Undertale/催泪】“我并不是什么好人…”", "url": "https://www.bilibili.com/video/BV14K4y1e7JH/"}
JSON: {"text": "【AMV/未闻花名/十年纪念】十年花名 仍知花意 不见其花 十年后的八月我们会再次相见", "url": "https://www.bilibili.com/video/BV1Ei4y1A7yL/"}
JSON: {"text": ""录音机能留下岁月吗"【轻音少女/2023风华回战/bilibili MAD创作大赛/ASMV】", "url": "https://www.bilibili.com/video/BV1Ku4y1V7qX/"}
JSON: {"text": "【葬送的芙莉莲】卧槽！这打斗这画面感！！菲伦这猫步！！！", "url": "https://www.bilibili.com/video/BV1hC4y1J7cR/"}
JSON: {"text": "五分钟带你回顾12年来血洗B站的动漫神曲", "url": "https://www.bilibili.com/video/BV1sh411S767/"}
JSON: {"text": "【全程高燃】波罗斯：如果连我都退缩了，那我身后的宇宙由谁来守护！宇宙霸主挑战光头大魔王！", "url": "https://www.bilibili.com/video/BV1xC4y1t7ZK/"}
JSON: {"text": "【赛马娘/剧情MAD】“纵使全世界把我当做反派，我依然是你一个人的英雄”", "url": "https://www.bilibili.com/video/BV1z34y1B7eK/"}
JSON: {"text": "【误解/MAD大赛2024】薇尔莉特和芙莉莲的「时光来信」", "url": "https://www.bilibili.com/video/BV1mCHneSEnu/"}
JSON: {"text": "【春物/AMV】One Last Kiss 再见了，所有的真物", "url": "https://www.bilibili.com/video/BV1sj421S7Aj/"}
JSON: {"text": "【静止画MAD】英勇的再临【世界终焉的世界录】", "url": "https://www.bilibili.com/video/BV1FM4y1K7DG/"}
JSON: {"text": "“仅此170秒，带你感受动漫中那些绝美画面！”【群青】", "url": "https://www.bilibili.com/video/BV11j411c7vS/"}
JSON: {"text": "⚠️史诗高燃！暴力踩点美学！！！", "url": "https://www.bilibili.com/video/BV1Fh411j7rc/"}
JSON: {"text": "海贼王神曲《Hope》！没有你 我就成为不了海贼王！", "url": "https://www.bilibili.com/video/BV1644y1r7EQ/"}
JSON: {"text": ""看好了，这才叫火之神神乐"  【缘一 / 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】", "url": "https://www.bilibili.com/video/BV1ms4y1u71M/"}
JSON: {"text": "“我常常告诉自己，一个人走也没有关系”《我只能离开/mad》", "url": "https://www.bilibili.com/video/BV17M411D7qC/"}
JSON: {"text": "神作？浮夸！", "url": "https://www.bilibili.com/video/BV1i3411Z7yL/"}
JSON: {"text": "|  精   准   而   优   雅  |", "url": "https://www.bilibili.com/video/BV19B4y127kG/"}
JSON: {"text": "原版《起风了》买辣椒也用券【纯享收藏级】", "url": "https://www.bilibili.com/video/BV1D64y1Z7Ko/"}
JSON: {"text": "弱者/The Weak", "url": "https://www.bilibili.com/video/BV1v7411W78x/"}
JSON: {"text": "每天一遍，青春无极限！", "url": "https://www.bilibili.com/video/BV1Kh411W7Yp/"}
JSON: {"text": "【多素材】喜欢你真的好痛苦", "url": "https://www.bilibili.com/video/BV1Ws411Z7rt/"}
JSON: {"text": "这首《我会等》，如今治愈了多少人", "url": "https://www.bilibili.com/video/BV19M4y127ac/"}
JSON: {"text": "【泛式/单集MAD】海贼王：顶上战争篇——这个时代的名字叫白胡子！", "url": "https://www.bilibili.com/video/BV1qW411j7TR/"}
JSON: {"text": "【MAD/混剪】从昭和到平成再到令和", "url": "https://www.bilibili.com/video/BV1y4411E7NQ/"}
JSON: {"text": "让我来告诉你什么叫做「绝望」！！", "url": "https://www.bilibili.com/video/BV1Z7411p7n8/"}
JSON: {"text": "|  精   准   而   优   雅  |", "url": "https://www.bilibili.com/video/BV19B4y127kG/"}
JSON: {"text": "【Fate/MAD】 理想与正义！！！", "url": "https://www.bilibili.com/video/BV1rs411s79y/"}
JSON: {"text": "“梦该醒了，少年”", "url": "https://www.bilibili.com/video/BV1Sr4y1h79z/"}
JSON: {"text": "⚠️史诗高燃！暴力踩点美学！！！", "url": "https://www.bilibili.com/video/BV1Fh411j7rc/"}
JSON: {"text": "【崩坏3/MAD】恶魔之子", "url": "https://www.bilibili.com/video/BV1L3411A7TH/"}
JSON: {"text": "【魔圆】“魔女的舞步”", "url": "https://www.bilibili.com/video/BV1qx4y1j7B5/"}
JSON: {"text": "六年前B站全是这种视频！！!", "url": "https://www.bilibili.com/video/BV1aM4y1i74D/"}
JSON: {"text": "【MAD/JOJO/全员向】☆★跨越百年的人类赞歌★☆", "url": "https://www.bilibili.com/video/BV1Sq4y1j7Ha/"}
JSON: {"text": "【静止画MAD】怪兽的花之歌【怪兽8号】", "url": "https://www.bilibili.com/video/BV1bK4y1L79e/"}
JSON: {"text": "𝑫𝒊𝒆 𝑭𝒐𝒓 𝒀𝒐𝒖 为你而战｜⚠️战力天花板的觉醒时刻！", "url": "https://www.bilibili.com/video/BV1FX4y1x7aP/"}
JSON: {"text": "《武神》300话完结纪念MAD：《把爱夺回来》", "url": "https://www.bilibili.com/video/BV14N411y76E/"}
JSON: {"text": "【处处吻】你的老婆可太撩了！世界都馋她一吻", "url": "https://www.bilibili.com/video/BV137411B7mQ/"}
JSON: {"text": "【AMV/未闻花名/十年纪念】十年花名 仍知花意 不见其花 十年后的八月我们会再次相见", "url": "https://www.bilibili.com/video/BV1Ei4y1A7yL/"}
JSON: {"text": "【误解/MAD大赛2024】薇尔莉特和芙莉莲的「时光来信」", "url": "https://www.bilibili.com/video/BV1mCHneSEnu/"}
JSON: {"text": "前方高帅！以凡人之躯，比肩神明！！！", "url": "https://www.bilibili.com/video/BV1ep4y117Fz/"}
JSON: {"text": "五分钟带你回顾12年来血洗B站的动漫神曲", "url": "https://www.bilibili.com/video/BV1sh411S767/"}
JSON: {"text": "【赛马娘/剧情MAD】“纵使全世界把我当做反派，我依然是你一个人的英雄”", "url": "https://www.bilibili.com/video/BV1z34y1B7eK/"}
JSON: {"text": "海贼王神曲《Hope》！没有你 我就成为不了海贼王！", "url": "https://www.bilibili.com/video/BV1644y1r7EQ/"}
JSON: {"text": "大概全站的人都会被推送到这个视频吧！", "url": "https://www.bilibili.com/video/BV1oK411P7JU/"}
JSON: {"text": "【春物/AMV】One Last Kiss 再见了，所有的真物", "url": "https://www.bilibili.com/video/BV1sj421S7Aj/"}
JSON: {"text": "【动画】为什么所有人都比我好？", "url": "https://www.bilibili.com/video/BV1Gy4y1c71y/"}
JSON: {"text": "夏目友人帐 - 关于银的故事【Mad大赛2016】", "url": "https://www.bilibili.com/video/BV11s411C7NX/"}
JSON: {"text": "“仅此170秒，带你感受动漫中那些绝美画面！”【群青】", "url": "https://www.bilibili.com/video/BV11j411c7vS/"}
JSON: {"text": "【静止画MAD】英勇的再临【世界终焉的世界录】", "url": "https://www.bilibili.com/video/BV1FM4y1K7DG/"}
JSON: {"text": "“用五十五部动漫唱一首《把回忆拼好给你》！我们的故事还没有完结...”", "url": "https://www.bilibili.com/video/BV1vD421A71C/"}
JSON: {"text": ""看好了，这才叫火之神神乐"  【缘一 / 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】", "url": "https://www.bilibili.com/video/BV1ms4y1u71M/"}
JSON: {"text": "“我常常告诉自己，一个人走也没有关系”《我只能离开/mad》", "url": "https://www.bilibili.com/video/BV17M411D7qC/"}
JSON: {"text": "“仅此160秒，带你感受动漫中那些美到窒息的瞬间 ！”", "url": "https://www.bilibili.com/video/BV1ys4y1g7qa/"}
JSON: {"text": "【你的名字/蓝光画质1080P/前前前世】AE渲染超爆炸燃向MAD·AMV", "url": "https://www.bilibili.com/video/BV1Nx411x73X/"}
JSON: {"text": "神作？浮夸！", "url": "https://www.bilibili.com/video/BV1i3411Z7yL/"}
JSON: {"text": "原版《起风了》买辣椒也用券【纯享收藏级】", "url": "https://www.bilibili.com/video/BV1D64y1Z7Ko/"}
JSON: {"text": "【MAD/精神污染/慎入】医生✟我的病能治好吗", "url": "https://www.bilibili.com/video/BV1784y1i7Ax/"}
JSON: {"text": "“你所赋予的光，现已如此庞大”", "url": "https://www.bilibili.com/video/BV1jL4y1a79N/"}
JSON: {"text": "每天一遍，青春无极限！", "url": "https://www.bilibili.com/video/BV1Kh411W7Yp/"}
JSON: {"text": "【多素材】喜欢你真的好痛苦", "url": "https://www.bilibili.com/video/BV1Ws411Z7rt/"}
JSON: {"text": "这首《我会等》，如今治愈了多少人", "url": "https://www.bilibili.com/video/BV19M4y127ac/"}
JSON: {"text": "『Spiral』究竟何为成长", "url": "https://www.bilibili.com/video/BV1xa4y1R7ha/"}
JSON: {"text": "【静止画MAD】神佛【咒术回战】", "url": "https://www.bilibili.com/video/BV1ap4y1H7Ak/"}
JSON: {"text": "MAPPA 暴 力 美 学", "url": "https://www.bilibili.com/video/BV1uh411q7wx/"}
JSON: {"text": "【静止画MAD】英勇的再临【世界终焉的世界录】", "url": "https://www.bilibili.com/video/BV1FM4y1K7DG/"}
JSON: {"text": "【动画】为什么所有人都比我好？", "url": "https://www.bilibili.com/video/BV1Gy4y1c71y/"}
JSON: {"text": "大概全站的人都会被推送到这个视频吧！", "url": "https://www.bilibili.com/video/BV1oK411P7JU/"}
JSON: {"text": "【TOS2021/静止画MAD】少年与少女的谎言【魔法少女伊莉雅】", "url": "https://www.bilibili.com/video/BV143411W7PU/"}
JSON: {"text": "夏目友人帐 - 关于银的故事【Mad大赛2016】", "url": "https://www.bilibili.com/video/BV11s411C7NX/"}
JSON: {"text": "【你的名字/蓝光画质1080P/前前前世】AE渲染超爆炸燃向MAD·AMV", "url": "https://www.bilibili.com/video/BV1Nx411x73X/"}
JSON: {"text": "也许，是风", "url": "https://www.bilibili.com/video/BV1ka4y1y7Dn/"}
JSON: {"text": "“仅此160秒，带你感受动漫中那些美到窒息的瞬间 ！”", "url": "https://www.bilibili.com/video/BV1ys4y1g7qa/"}
JSON: {"text": ""看好了，这才叫火之神神乐"  【缘一 / 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】", "url": "https://www.bilibili.com/video/BV1ms4y1u71M/"}
JSON: {"text": "“用五十五部动漫唱一首《把回忆拼好给你》！我们的故事还没有完结...”", "url": "https://www.bilibili.com/video/BV1vD421A71C/"}
JSON: {"text": "神作？浮夸！", "url": "https://www.bilibili.com/video/BV1i3411Z7yL/"}
JSON: {"text": "原版《起风了》买辣椒也用券【纯享收藏级】", "url": "https://www.bilibili.com/video/BV1D64y1Z7Ko/"}
JSON: {"text": "每天一遍，青春无极限！", "url": "https://www.bilibili.com/video/BV1Kh411W7Yp/"}
JSON: {"text": "【MAD/精神污染/慎入】医生✟我的病能治好吗", "url": "https://www.bilibili.com/video/BV1784y1i7Ax/"}
JSON: {"text": "这首《我会等》，如今治愈了多少人", "url": "https://www.bilibili.com/video/BV19M4y127ac/"}
JSON: {"text": "【多素材】喜欢你真的好痛苦", "url": "https://www.bilibili.com/video/BV1Ws411Z7rt/"}
JSON: {"text": "“你所赋予的光，现已如此庞大”", "url": "https://www.bilibili.com/video/BV1jL4y1a79N/"}
JSON: {"text": "MAPPA 暴 力 美 学", "url": "https://www.bilibili.com/video/BV1uh411q7wx/"}
JSON: {"text": "【泛式/单集MAD】海贼王：顶上战争篇——这个时代的名字叫白胡子！", "url": "https://www.bilibili.com/video/BV1qW411j7TR/"}
JSON: {"text": "【静止画MAD】神佛【咒术回战】", "url": "https://www.bilibili.com/video/BV1ap4y1H7Ak/"}
JSON: {"text": "『Spiral』究竟何为成长", "url": "https://www.bilibili.com/video/BV1xa4y1R7ha/"}
JSON: {"text": "【静止画MAD/春物/团子】再见夏天", "url": "https://www.bilibili.com/video/BV19d4y1z7R8/"}
JSON: {"text": "愣着干嘛，戴上耳机，这才是忍者世界的巅峰战力！！！", "url": "https://www.bilibili.com/video/BV1aK4y1a7oT/"}
JSON: {"text": "“黄金精神，JO在其中”", "url": "https://www.bilibili.com/video/BV17C4y1y7Qv/"}
JSON: {"text": "【新年快乐】2009-2020动漫神曲串烧「PV重置版」，致我们已逝去的青春。", "url": "https://www.bilibili.com/video/BV1Ef4y1C71M/"}
JSON: {"text": "【?? ?????】这首《??????? ?????》如今治愈了多少人！！!  ℳ₯㎕-沉 沦", "url": "https://www.bilibili.com/video/BV1xV41167qm/"}
JSON: {"text": "【泛式/剧情MAD】哥哥的女朋友，只能由我来选......", "url": "https://www.bilibili.com/video/BV1sW4y1Z7pn/"}
JSON: {"text": "【静止系MAD/明末千里行】即便洛水重逢 怕是醉未醒", "url": "https://www.bilibili.com/video/BV14n4y1f7rr/"}
JSON: {"text": "【误解向/败犬女主】是谁忘了要给你温柔", "url": "https://www.bilibili.com/video/BV1JhsVe4Et1/"}
JSON: {"text": "从入门到入土，人人都能轻松学会的MAD超实战简单教程", "url": "https://www.bilibili.com/video/BV1fz4y197QF/"}
JSON: {"text": "【PCS Anime/官方OP延长/魔圆】TV版「魔法少女小圆」【コネクト】官方OP曲 剧本级加长版 PCS Studio", "url": "https://www.bilibili.com/video/BV1Eb4y1d7hD/"}
JSON: {"text": "曾火爆全网的《Falling Again》，你是否还知道？", "url": "https://www.bilibili.com/video/BV17z4y1d72b/"}
JSON: {"text": "【MAD/史莱姆史诗】神明之怒", "url": "https://www.bilibili.com/video/BV1NU4y1377q/"}
JSON: {"text": "【静止系MAD教程】三分钟制作一个简单分镜", "url": "https://www.bilibili.com/video/BV13G41117UN/"}
JSON: {"text": "【GBC/MAD】用一首歌带你看完《哭泣少女乐队》", "url": "https://www.bilibili.com/video/BV1hW42197xy/"}
JSON: {"text": "我会浴血奋战不休，直到夺回自由和属于我们的一切", "url": "https://www.bilibili.com/video/BV1sT4y1u7Nk/"}
