JSON: {"text": "【北京清华大学】普通生物学", "url": "https://www.bilibili.com/video/BV1ns411B7g8/"}
JSON: {"text": "普通生物学-清华大学", "url": "https://www.bilibili.com/video/BV14E41127Gr/"}
JSON: {"text": "【中字】吸血鬼的生物学解释_吸血鬼的科学", "url": "https://www.bilibili.com/video/BV1NF4m1P7hp/"}
JSON: {"text": "神的禁令，写在20号染色体上，神究竟禁止人类做什么【生物实验室异闻录】", "url": "https://www.bilibili.com/video/BV1zg4y187WG/"}
JSON: {"text": "人生本来就没有任何意义！自私的基因，颠覆你对生命的认知【思维实验室】第十一期", "url": "https://www.bilibili.com/video/BV1ub411L7TY/"}
JSON: {"text": "你不一定是人类,你只拥有43%的人类属性剩下的是你不愿接受的事实", "url": "https://www.bilibili.com/video/BV1a44y1a7t3/"}
JSON: {"text": "高一生物 必修一 生物 分子与细胞 2023新人教版 部编版统编版 高中生物必修第一册生物2019新教材新课标高一生物上册生物学 生物 必修1 含课件", "url": "https://www.bilibili.com/video/BV1wZ4y1T7Uz/"}
JSON: {"text": "【35集全集】美国生物学-遗传学课程-中英cc字幕-英语听力口语单词-科普", "url": "https://www.bilibili.com/video/BV1KG4y1a74r/"}
JSON: {"text": "【普通生物学】南开大学-张金红", "url": "https://www.bilibili.com/video/BV1PW411v7i9/"}
JSON: {"text": "【Ted-ED】中字·你应该知道的生物学常识", "url": "https://www.bilibili.com/video/BV1q4411D7in/"}
JSON: {"text": "《 原 神 生 物 学 》", "url": "https://www.bilibili.com/video/BV1K24y197fj/"}
JSON: {"text": "生物学（英音中字）已翻译-可汗学院公开课", "url": "https://www.bilibili.com/video/BV1Ht411t7Fz/"}
JSON: {"text": "古生物学 - 南京大学（国家精品课）", "url": "https://www.bilibili.com/video/BV1K44y1t7WQ/"}
JSON: {"text": "【中国农业大学】植物学 刘朝辉 孟雷（88讲）", "url": "https://www.bilibili.com/video/BV1D54y137bk/"}
JSON: {"text": "陈阅增 普通生物学 第四版 考研生物学超级精讲 复习带背", "url": "https://www.bilibili.com/video/BV13Y4y177r5/"}
JSON: {"text": "【2024重录】高中生物选修1合集稳态与调节 正课同步习题真题新教材选择性必修1选修一选必1新人教版新课标新高考网课生物学内环境神经体液免疫调节植物激素", "url": "https://www.bilibili.com/video/BV1T5411G7Q8/"}
JSON: {"text": "【Nature Video】最好的生物学动画", "url": "https://www.bilibili.com/video/BV1wi4y1R79K/"}
JSON: {"text": "[熟肉]  十分钟生物学  Crash Course Biology", "url": "https://www.bilibili.com/video/BV1Px41117N2/"}
JSON: {"text": "【中英双字】都是树状？为什么分形(FRACTALS)在生物学中无处不在", "url": "https://www.bilibili.com/video/BV1ag4y1Q7Le/"}
JSON: {"text": "“改兽狂魔”用一生改造一种动物，温暖的故事～", "url": "https://www.bilibili.com/video/BV1W14y1m7eP/"}
JSON: {"text": "学生物的高压瞬间", "url": "https://www.bilibili.com/video/BV1gz421S7Li/"}
JSON: {"text": "陈阅增 普通生物学 第四版 考研生物学超级精讲 复习带背", "url": "https://www.bilibili.com/video/BV13Y4y177r5/"}
JSON: {"text": "【35集全集】美国生物学-遗传学课程-中英cc字幕-英语听力口语单词-科普", "url": "https://www.bilibili.com/video/BV1KG4y1a74r/"}
JSON: {"text": "颜宁的生物学笔记", "url": "https://www.bilibili.com/video/BV1n4411c7qf/"}
JSON: {"text": "生物学67集全 Crash Course Biology", "url": "https://www.bilibili.com/video/BV1LJ411X71i/"}
JSON: {"text": "【100集】可爱的生物学动画-中英cc字幕-生物学-医学-科普-英语听力口语单词听力语法", "url": "https://www.bilibili.com/video/BV1Y84y1473j/"}
JSON: {"text": "吴相钰《陈阅增普通生物学》知识点详解", "url": "https://www.bilibili.com/video/BV1nL4y1a79e/"}
JSON: {"text": "【南京大学】分子生物学", "url": "https://www.bilibili.com/video/BV1h741157zC/"}
JSON: {"text": "[熟肉]  十分钟生物学  Crash Course Biology", "url": "https://www.bilibili.com/video/BV1Px41117N2/"}
JSON: {"text": "微生物学 陈向东", "url": "https://www.bilibili.com/video/BV1Ds41137Hg/"}
JSON: {"text": "人生本来就没有任何意义！自私的基因，颠覆你对生命的认知【思维实验室】第十一期", "url": "https://www.bilibili.com/video/BV1ub411L7TY/"}
JSON: {"text": "初一生物七年级生物上册 人教版 2024新版 初中生物7年级生物上册七年级上册7年级上册生物学七年级 含课件", "url": "https://www.bilibili.com/video/BV1wz4y1Z7NW/"}
JSON: {"text": "施一公的生物学笔记", "url": "https://www.bilibili.com/video/BV124411A76J/"}
JSON: {"text": "古生物学 - 南京大学（国家精品课）", "url": "https://www.bilibili.com/video/BV1K44y1t7WQ/"}
JSON: {"text": "高一生物 必修一 生物 分子与细胞 2023新人教版 部编版统编版 高中生物必修第一册生物2019新教材新课标高一生物上册生物学 生物 必修1 含课件", "url": "https://www.bilibili.com/video/BV1wZ4y1T7Uz/"}
JSON: {"text": "【25集】美国生物化学全套课程-中英cc字幕-生物学-化学-医学", "url": "https://www.bilibili.com/video/BV1DV4y1T7Gv/"}
JSON: {"text": "【哈尔滨医科大学】肿瘤生物学", "url": "https://www.bilibili.com/video/BV1ss411q7de/"}
JSON: {"text": "神的禁令，写在20号染色体上，神究竟禁止人类做什么【生物实验室异闻录】", "url": "https://www.bilibili.com/video/BV1zg4y187WG/"}
JSON: {"text": "【华中科技大学】生物化学与分子生物学（全145讲）杨广笑〈附刘不言〉", "url": "https://www.bilibili.com/video/BV1io4y127dJ/"}
JSON: {"text": "四川大学-细胞生物学（国家级精品课）", "url": "https://www.bilibili.com/video/BV1V4411U7WZ/"}
JSON: {"text": "【高中生物学必修1】细胞的结构和功能", "url": "https://www.bilibili.com/video/BV13v411377G/"}
JSON: {"text": "【华中科技大学】生物化学与分子生物学", "url": "https://www.bilibili.com/video/BV1Ss411i7Mm/"}
JSON: {"text": "【Nature Video】最好的生物学动画", "url": "https://www.bilibili.com/video/BV1wi4y1R79K/"}
JSON: {"text": "13岁女画家，如何颠覆生物学对变态的认知？【透明的她 01】", "url": "https://www.bilibili.com/video/BV1pG4y187fD/"}
JSON: {"text": "【华中科技大学】《生物化学与分子生物学》孙军等", "url": "https://www.bilibili.com/video/BV1fJ411U72Z/"}
JSON: {"text": "【中字】吸血鬼的生物学解释_吸血鬼的科学", "url": "https://www.bilibili.com/video/BV1NF4m1P7hp/"}
JSON: {"text": "【可汗学院】生物学 Biology | 美国原汁原味课程（61集）", "url": "https://www.bilibili.com/video/BV14g411G7Yv/"}
JSON: {"text": "【中英双字】都是树状？为什么分形(FRACTALS)在生物学中无处不在", "url": "https://www.bilibili.com/video/BV1ag4y1Q7Le/"}
JSON: {"text": "【中国农业大学】植物生物学", "url": "https://www.bilibili.com/video/BV12s411i7bn/"}
JSON: {"text": "《我爱学生物》", "url": "https://www.bilibili.com/video/BV1QK421x7B4/"}
JSON: {"text": "狼人生物学解释:狼人的科学（机翻熟）", "url": "https://www.bilibili.com/video/BV1ZG411U7xH/"}
JSON: {"text": "【Nature Video】最好的生物学动画", "url": "https://www.bilibili.com/video/BV1wi4y1R79K/"}
JSON: {"text": "【华中科技大学】《生物化学与分子生物学》孙军等", "url": "https://www.bilibili.com/video/BV1fJ411U72Z/"}
JSON: {"text": "【中字】吸血鬼的生物学解释_吸血鬼的科学", "url": "https://www.bilibili.com/video/BV1NF4m1P7hp/"}
JSON: {"text": "【中英双字】都是树状？为什么分形(FRACTALS)在生物学中无处不在", "url": "https://www.bilibili.com/video/BV1ag4y1Q7Le/"}
JSON: {"text": "【中国农业大学】植物生物学", "url": "https://www.bilibili.com/video/BV12s411i7bn/"}
JSON: {"text": "狼人生物学解释:狼人的科学（机翻熟）", "url": "https://www.bilibili.com/video/BV1ZG411U7xH/"}
JSON: {"text": "【高中生物学必修1】细胞的结构和功能", "url": "https://www.bilibili.com/video/BV13v411377G/"}
JSON: {"text": "【MIT麻省理工精品课程】分子生物学系列第一部分：DNA复制与修复【全中英字幕】", "url": "https://www.bilibili.com/video/BV1Kt4y1k7Aw/"}
JSON: {"text": "因为他，分子生物学被划分为两个时代【凯利·穆利斯】", "url": "https://www.bilibili.com/video/BV19m4y1K7ZN/"}
JSON: {"text": "【500集全集】生物医学3D动画第二期-第51至80集-中英cc字幕-生物医学英语-持续更新中", "url": "https://www.bilibili.com/video/BV1GG411h7p7/"}
JSON: {"text": "【25集】美国生物化学全套课程-中英cc字幕-生物学-化学-医学", "url": "https://www.bilibili.com/video/BV1DV4y1T7Gv/"}
JSON: {"text": "世界最前沿生物学   ibiology", "url": "https://www.bilibili.com/video/BV1pE411v7vm/"}
JSON: {"text": "你不一定是人类,你只拥有43%的人类属性剩下的是你不愿接受的事实", "url": "https://www.bilibili.com/video/BV1a44y1a7t3/"}
JSON: {"text": "《我爱学生物》", "url": "https://www.bilibili.com/video/BV1QK421x7B4/"}
JSON: {"text": "神的禁令，写在20号染色体上，神究竟禁止人类做什么【生物实验室异闻录】", "url": "https://www.bilibili.com/video/BV1zg4y187WG/"}
JSON: {"text": "《 原 神 生 物 学 》", "url": "https://www.bilibili.com/video/BV1K24y197fj/"}
JSON: {"text": "13岁女画家，如何颠覆生物学对变态的认知？【透明的她 01】", "url": "https://www.bilibili.com/video/BV1pG4y187fD/"}
JSON: {"text": "一滴水里的动物园 ，单细胞也可以是大聪明", "url": "https://www.bilibili.com/video/BV1g34y1H7Vp/"}
JSON: {"text": "学生物的高压瞬间", "url": "https://www.bilibili.com/video/BV1gz421S7Li/"}
JSON: {"text": "【华中科技大学】生物化学与分子生物学", "url": "https://www.bilibili.com/video/BV1Ss411i7Mm/"}
JSON: {"text": "啥是科学？为什么学生物救不了生物学！", "url": "https://www.bilibili.com/video/BV1vh411T7zu/"}
JSON: {"text": "【人教版】八年级生物学上册同步视频课程，初中二年级上册生物优质课程，人民教育出版社初中生物八年级名师空中课堂，初中生物八年级知识点讲解，初二生物名师教程网络课堂", "url": "https://www.bilibili.com/video/BV1YM4y137o9/"}
JSON: {"text": "【可汗学院】生物学 Biology | 美国原汁原味课程（61集）", "url": "https://www.bilibili.com/video/BV14g411G7Yv/"}
JSON: {"text": "【生物】细胞生物学基础（清华大学）", "url": "https://www.bilibili.com/video/BV1vW411V7Lx/"}
JSON: {"text": "【50集】真人器官解剖合集—第二期—中英cc字幕-医学生物学科普——英语听力单词语法口语", "url": "https://www.bilibili.com/video/BV1s24y1W7mU/"}
JSON: {"text": "【细胞】细胞生物学 2020-2021", "url": "https://www.bilibili.com/video/BV1oV411h75y/"}
JSON: {"text": "【可汗学院】生物学 Biology | 美国原汁原味课程（61集）", "url": "https://www.bilibili.com/video/BV14g411G7Yv/"}
JSON: {"text": "世界最前沿生物学   ibiology", "url": "https://www.bilibili.com/video/BV1pE411v7vm/"}
JSON: {"text": "【生物】细胞生物学基础（清华大学）", "url": "https://www.bilibili.com/video/BV1vW411V7Lx/"}
JSON: {"text": "【毕导】气 抖 冷 ！学化学的比不过学生物的？诺贝尔化学奖为何总颁给生物？", "url": "https://www.bilibili.com/video/BV1ti4y177SH/"}
JSON: {"text": "狼人生物学解释:狼人的科学（机翻熟）", "url": "https://www.bilibili.com/video/BV1ZG411U7xH/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列02】", "url": "https://www.bilibili.com/video/BV1z3411L7ku/"}
JSON: {"text": "2021哈佛大学生物信息学与计算生物学（全175集）—— 中英双字", "url": "https://www.bilibili.com/video/BV1yS4y1Z721/"}
JSON: {"text": "eva生物体结构剖析：拘束器的工作原理是什么？", "url": "https://www.bilibili.com/video/BV1Pw411P7vj/"}
JSON: {"text": "【话奥21】赛文演化史-越来越弱的一生", "url": "https://www.bilibili.com/video/BV1gf4y1U7VY/"}
JSON: {"text": "【生物】生理学 中南大学 罗自强主讲", "url": "https://www.bilibili.com/video/BV1Et411D7qf/"}
JSON: {"text": "【生物统计学】-南农盖钧镒院士团队（附完整课件）", "url": "https://www.bilibili.com/video/BV1uo4y1f73M/"}
JSON: {"text": "啥是科学？为什么学生物救不了生物学！", "url": "https://www.bilibili.com/video/BV1vh411T7zu/"}
JSON: {"text": "大脑中的“叛徒”，所有生物学中最奇怪的东西", "url": "https://www.bilibili.com/video/BV1Ei4y1Y7DH/"}
JSON: {"text": "冥王星合集【太阳系的天体球】", "url": "https://www.bilibili.com/video/BV1qN4y1z76h/"}
JSON: {"text": "【人教版】八年级生物学上册同步视频课程，初中二年级上册生物优质课程，人民教育出版社初中生物八年级名师空中课堂，初中生物八年级知识点讲解，初二生物名师教程网络课堂", "url": "https://www.bilibili.com/video/BV1YM4y137o9/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列05】", "url": "https://www.bilibili.com/video/BV1pU4y1v7cb/"}
JSON: {"text": "丧尸的生物学解释_丧尸的科学（中字熟肉）", "url": "https://www.bilibili.com/video/BV1dc411z7cC/"}
JSON: {"text": "【北京大学】分子生物学朱玉贤", "url": "https://www.bilibili.com/video/BV1db411E7aj/"}
JSON: {"text": "啥是科学？为什么学生物救不了生物学！", "url": "https://www.bilibili.com/video/BV1vh411T7zu/"}
JSON: {"text": "【人教版】八年级生物学上册同步视频课程，初中二年级上册生物优质课程，人民教育出版社初中生物八年级名师空中课堂，初中生物八年级知识点讲解，初二生物名师教程网络课堂", "url": "https://www.bilibili.com/video/BV1YM4y137o9/"}
JSON: {"text": "高中生物必修一开更啦！第1章:走进细胞（知识）|0基础救星！", "url": "https://www.bilibili.com/video/BV1TS4y147k5/"}
JSON: {"text": "吸血鬼的生物学解释_吸血鬼的科学（机翻）", "url": "https://www.bilibili.com/video/BV1hu4y1j7Po/"}
JSON: {"text": "eva生物体结构剖析：拘束器的工作原理是什么？", "url": "https://www.bilibili.com/video/BV1Pw411P7vj/"}
JSON: {"text": "【50集】真人器官解剖合集—第二期—中英cc字幕-医学生物学科普——英语听力单词语法口语", "url": "https://www.bilibili.com/video/BV1s24y1W7mU/"}
JSON: {"text": "【细胞】细胞生物学 2020-2021", "url": "https://www.bilibili.com/video/BV1oV411h75y/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列01】", "url": "https://www.bilibili.com/video/BV1i3411h7As/"}
JSON: {"text": "小伙白天和师傅学技术，晚上却进屋和师娘学生物知识", "url": "https://www.bilibili.com/video/BV17e4y1X7ed/"}
JSON: {"text": "【生物】生理学 中南大学 罗自强主讲", "url": "https://www.bilibili.com/video/BV1Et411D7qf/"}
JSON: {"text": "教资学科知识科目三高中生物", "url": "https://www.bilibili.com/video/BV1sf4y1b7Eu/"}
JSON: {"text": "宝 答应我不要学生物好吗", "url": "https://www.bilibili.com/video/BV17q4y1q7mj/"}
JSON: {"text": "【人教版】七年级生物学上册同步视频课程，初中一年级上册生物优质课程，教育部统编人教版初中七年级名师空中课堂，初中七年级生物知识点讲解，初二生物名师教程网络云课堂", "url": "https://www.bilibili.com/video/BV1M34y1Q7px/"}
JSON: {"text": "当细菌掌握了人类语言，它们预测出了2050年的世界！科幻小说《将语》", "url": "https://www.bilibili.com/video/BV1TP4y1c7iR/"}
JSON: {"text": "2021哈佛大学生物信息学与计算生物学（全175集）—— 中英双字", "url": "https://www.bilibili.com/video/BV1yS4y1Z721/"}
JSON: {"text": "【国家精品课程】四川大学 细胞生物学 （教材：翟中和《细胞生物学》）", "url": "https://www.bilibili.com/video/BV1qb411G7x1/"}
JSON: {"text": "【龙女生物学】人类欠我半条命 昆虫给我交房租", "url": "https://www.bilibili.com/video/BV1tL411g7n7/"}
JSON: {"text": "吸血鬼的生物学解释_吸血鬼的科学（机翻）", "url": "https://www.bilibili.com/video/BV1hu4y1j7Po/"}
JSON: {"text": "eva生物体结构剖析：拘束器的工作原理是什么？", "url": "https://www.bilibili.com/video/BV1Pw411P7vj/"}
JSON: {"text": "[科普动画]Kurzgesagt 视频全集，上知数学物理天文，下知化学生物地理", "url": "https://www.bilibili.com/video/BV1Ua4y1t7Ei/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列01】", "url": "https://www.bilibili.com/video/BV1i3411h7As/"}
JSON: {"text": "分子生物学实验（第二次开课）-北京师范大学", "url": "https://www.bilibili.com/video/BV1T4411g7pW/"}
JSON: {"text": "【生物】生理学 中南大学 罗自强主讲", "url": "https://www.bilibili.com/video/BV1Et411D7qf/"}
JSON: {"text": "宝 答应我不要学生物好吗", "url": "https://www.bilibili.com/video/BV17q4y1q7mj/"}
JSON: {"text": "初一生物全44集趣味动画 看动画学生物，孩子一看就懂的动画课堂 七年级生物初中生物上下全册 2023版人教版", "url": "https://www.bilibili.com/video/BV1Ru4y1C7wu/"}
JSON: {"text": "（已完结课程）《生物化学与分子生物学》张宏等", "url": "https://www.bilibili.com/video/BV1Z341167yt/"}
JSON: {"text": "2021哈佛大学生物信息学与计算生物学（全175集）—— 中英双字", "url": "https://www.bilibili.com/video/BV1yS4y1Z721/"}
JSON: {"text": "【国家精品课程】四川大学 细胞生物学 （教材：翟中和《细胞生物学》）", "url": "https://www.bilibili.com/video/BV1qb411G7x1/"}
JSON: {"text": "【龙女生物学】人类欠我半条命 昆虫给我交房租", "url": "https://www.bilibili.com/video/BV1tL411g7n7/"}
JSON: {"text": "单细胞生物能长多大？", "url": "https://www.bilibili.com/video/BV1kg41197Ds/"}
JSON: {"text": "【话奥21】赛文演化史-越来越弱的一生", "url": "https://www.bilibili.com/video/BV1gf4y1U7VY/"}
JSON: {"text": "组织学与胚胎学-哈尔滨医科大学", "url": "https://www.bilibili.com/video/BV1Db411y7DY/"}
JSON: {"text": "初二生物八年级生物上册 人教版 2023新版 初中生物8年级生物上册八年级上册8年级上册生物初二生物初2生物上册人教版生物学 含课件", "url": "https://www.bilibili.com/video/BV1JA411J7rG/"}
JSON: {"text": "医学微生物学", "url": "https://www.bilibili.com/video/BV1gy4y187LF/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列05】", "url": "https://www.bilibili.com/video/BV1pU4y1v7cb/"}
JSON: {"text": "已完结！！！求臻25普通生物学-陈阅增普通生物学考研-高分笔记精讲课-全部免费更新！", "url": "https://www.bilibili.com/video/BV1Ky421q71t/"}
JSON: {"text": "【2023重录】高中生物必修1分子与细胞合集新教材必修一人教版新高考新课标网课走近细胞组成细胞的分子酶主动运输细胞呼吸作用光合作用有丝分裂", "url": "https://www.bilibili.com/video/BV1th411i7J9/"}
JSON: {"text": "高一生物 必修一 生物学 分子与细胞 高中生物必修第一册生物2019新教材新课标 2022新人教版 部编版统编版 高一生物上册生物学 生物 必修1", "url": "https://www.bilibili.com/video/BV1CN4y1M7Xf/"}
JSON: {"text": "为何大自然中蓝色动物很稀少? | 天天观世界(探秘,生物学,未解之谜,物理学,科普,蓝色蝴蝶,色素,颜色,知识)", "url": "https://www.bilibili.com/video/BV1Kx4y1Z7LR/"}
JSON: {"text": "组织学与胚胎学-哈尔滨医科大学", "url": "https://www.bilibili.com/video/BV1Db411y7DY/"}
JSON: {"text": "【毕导】气 抖 冷 ！学化学的比不过学生物的？诺贝尔化学奖为何总颁给生物？", "url": "https://www.bilibili.com/video/BV1ti4y177SH/"}
JSON: {"text": "女生为什么学生物后不身材焦虑了", "url": "https://www.bilibili.com/video/BV1zZ421U7en/"}
JSON: {"text": "新冠来袭，看免疫系统如何应战", "url": "https://www.bilibili.com/video/BV1GU4y1P7Pv/"}
JSON: {"text": "初一生物全44集趣味动画 看动画学生物，孩子一看就懂的动画课堂 七年级生物初中生物上下全册 2023版人教版", "url": "https://www.bilibili.com/video/BV1Ru4y1C7wu/"}
JSON: {"text": "20分钟搞定蛋白质计算!  | 题型总结【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1i14y1h7oh/"}
JSON: {"text": "八大细胞器来袭，准备好接招了吗？  | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1UP411P7Gy/"}
JSON: {"text": "【瞻云】器官演化系列：你的嘴为啥5亿年都是上下开口，而不是左右开合？", "url": "https://www.bilibili.com/video/BV1um411R73D/"}
JSON: {"text": "学生物的硕博生每天都在干嘛？剪个视频告诉爸妈我假期为什么不回家。科研民工的日常之一：吃时间的细胞间", "url": "https://www.bilibili.com/video/BV1NR4y1N7q2/"}
JSON: {"text": "小伙白天和师傅学技术，晚上却进屋和师娘学生物知识", "url": "https://www.bilibili.com/video/BV17e4y1X7ed/"}
JSON: {"text": "当细菌掌握了人类语言，它们预测出了2050年的世界！科幻小说《将语》", "url": "https://www.bilibili.com/video/BV1TP4y1c7iR/"}
JSON: {"text": "【中国医科大学】生物化学与分子生物学【57讲】", "url": "https://www.bilibili.com/video/BV1Jx411h7r3/"}
JSON: {"text": "血族的生物学解释_血族的科学(机翻熟)", "url": "https://www.bilibili.com/video/BV1PC4y1y79x/"}
JSON: {"text": "生物化学与分子生物学（更新完）", "url": "https://www.bilibili.com/video/BV1nz411v7qN/"}
JSON: {"text": "细胞生物学-考研细胞生物学-翟中和-第四版-第五版-24考研", "url": "https://www.bilibili.com/video/BV1Pu411i7Pd/"}
JSON: {"text": "【西北农林科技大学】植物学", "url": "https://www.bilibili.com/video/BV1H7411J7Gf/"}
JSON: {"text": "【生物实验】解剖一条鲫鱼的正确姿势（50名高中生就是这样上了北大清华）", "url": "https://www.bilibili.com/video/BV1HW411X7P7/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列02】", "url": "https://www.bilibili.com/video/BV1z3411L7ku/"}
JSON: {"text": "小伙白天和师傅学技术，晚上却进屋和师娘学生物知识", "url": "https://www.bilibili.com/video/BV17e4y1X7ed/"}
JSON: {"text": "当细菌掌握了人类语言，它们预测出了2050年的世界！科幻小说《将语》", "url": "https://www.bilibili.com/video/BV1TP4y1c7iR/"}
JSON: {"text": "冥王星合集【太阳系的天体球】", "url": "https://www.bilibili.com/video/BV1qN4y1z76h/"}
JSON: {"text": "【中国医科大学】生物化学与分子生物学【57讲】", "url": "https://www.bilibili.com/video/BV1Jx411h7r3/"}
JSON: {"text": "血族的生物学解释_血族的科学(机翻熟)", "url": "https://www.bilibili.com/video/BV1PC4y1y79x/"}
JSON: {"text": "生物化学与分子生物学（更新完）", "url": "https://www.bilibili.com/video/BV1nz411v7qN/"}
JSON: {"text": "高中生物选择性必修三《生物技术与工程》系列视频课", "url": "https://www.bilibili.com/video/BV1KG411w7MY/"}
JSON: {"text": "单细胞生物能长多大？", "url": "https://www.bilibili.com/video/BV1kg41197Ds/"}
JSON: {"text": "初中生物八年级全册人教版生物八年级全册生物", "url": "https://www.bilibili.com/video/BV17V411U7hM/"}
JSON: {"text": "水手在大洋中央意外发现这个令人毛骨悚然的巨物，在社媒疯传", "url": "https://www.bilibili.com/video/BV19m411o7ZD/"}
JSON: {"text": "运动增强长高的表达（新生物学的启示）", "url": "https://www.bilibili.com/video/BV1jS4y1E7S5/"}
JSON: {"text": "【选择性必修1】体液免疫调节特异性免疫过程抗原抗体结合高中生物学网课基础生物新高考动画教学", "url": "https://www.bilibili.com/video/BV1tY411n7gq/"}
JSON: {"text": "[科普动画]Kurzgesagt 视频全集，上知数学物理天文，下知化学生物地理", "url": "https://www.bilibili.com/video/BV1Ua4y1t7Ei/"}
JSON: {"text": "【一生】蛋白质的计算，包教包会！|高中生物重难点", "url": "https://www.bilibili.com/video/BV1iv411u7mu/"}
JSON: {"text": "“改兽狂魔”用一生改造一种动物，温暖的故事～", "url": "https://www.bilibili.com/video/BV1W14y1m7eP/"}
JSON: {"text": "性开放的生物学后果（暨南大学张弓教授2019.7.）", "url": "https://www.bilibili.com/video/BV1T44y1e71S/"}
JSON: {"text": "为何大自然中蓝色动物很稀少? | 天天观世界(探秘,生物学,未解之谜,物理学,科普,蓝色蝴蝶,色素,颜色,知识)", "url": "https://www.bilibili.com/video/BV1Kx4y1Z7LR/"}
JSON: {"text": "八年级下册生物学 第19期 基因的显性和隐性", "url": "https://www.bilibili.com/video/BV15L411N7TX/"}
JSON: {"text": "初二生物八年级生物上册 人教版 2023新版 初中生物8年级生物上册八年级上册8年级上册生物初二生物初2生物上册人教版生物学 含课件", "url": "https://www.bilibili.com/video/BV1JA411J7rG/"}
JSON: {"text": "女生为什么学生物后不身材焦虑了", "url": "https://www.bilibili.com/video/BV1zZ421U7en/"}
JSON: {"text": "分子生物学实验（第二次开课）-北京师范大学", "url": "https://www.bilibili.com/video/BV1T4411g7pW/"}
JSON: {"text": "教资学科知识科目三高中生物", "url": "https://www.bilibili.com/video/BV1sf4y1b7Eu/"}
JSON: {"text": "高一生物 必修一 生物学 分子与细胞 高中生物必修第一册生物2019新教材新课标 2022新人教版 部编版统编版 高一生物上册生物学 生物 必修1", "url": "https://www.bilibili.com/video/BV1CN4y1M7Xf/"}
JSON: {"text": "【选择性必修1】体液免疫调节特异性免疫过程抗原抗体结合高中生物学网课基础生物新高考动画教学", "url": "https://www.bilibili.com/video/BV1tY411n7gq/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列01】", "url": "https://www.bilibili.com/video/BV1i3411h7As/"}
JSON: {"text": "【全44集】初中生物趣味讲解 七年级生物   看动画学生物 初中数学 上下册  初中生物考点", "url": "https://www.bilibili.com/video/BV13w41197Ub/"}
JSON: {"text": "【泰拉生物学】带你深度了解泰拉种族——天使", "url": "https://www.bilibili.com/video/BV15G411T7Di/"}
JSON: {"text": "【全程回顾】2022 诺贝尔生理学或医学奖·奖项解读", "url": "https://www.bilibili.com/video/BV1FN4y1N7um/"}
JSON: {"text": "【生物实验】解剖一条鲫鱼的正确姿势（50名高中生就是这样上了北大清华）", "url": "https://www.bilibili.com/video/BV1HW411X7P7/"}
